0,64,224,226,232,241,243,249,251
22.5,192,196,200,225,229,233,237,
45,128,193,227,235,,,,
67.5,129,137,145,195,203,211,219,
90,1,131,139,163,199,207,231,239
112.5,3,19,35,135,151,167,183,
135,2,7,143,175,,,,
157.5,6,15,38,47,70,79,111,
180,4,14,31,46,63,142,159,191
202.5,12,30,76,94,140,158,222,
225,8,28,62,190,,,,
247.5,24,25,60,61,152,188,189,
270,16,56,58,124,126,184,252,254
292.5,48,49,50,120,121,122,123,
315,32,112,248,250,,,,
337.5,96,98,100,240,242,244,246,
